canonical_title,category
"Sonata in B-flat Major, K.281",sonata
"Sonata in C Major, K 330, I. Allegro moderato",sonata
"Sonata in C Major, K279",sonata
"Sonata in C Minor K457, First Movement",sonata
"Sonata in C Minor, K. 457",sonata
"Sonata in C Minor, K. 457, 1st mov.",sonata
Sonata in D Major K576,sonata
"Sonata in D Major, K 284, First Movement",sonata
"Sonata in D Major, K 576, First Movement",sonata
"Sonata in D Major, K. 284, First Movement",sonata
"Sonata in D Major, K. 311",sonata
"Sonata in D Major, K. 576 (Complete)",sonata
"Sonata in D Major, K. 576, I - Allegro",sonata
"Sonata in D Major, K. 576, II - Adagio",sonata
"Sonata in D Major, K.311",sonata
"Sonata in D-Major, K. 311, First Movement",sonata
Sonata in F,sonata
Sonata in F K332,sonata
"Sonata in F Major, K 332 (Complete)",sonata
"Sonata in F Major, K. 280, 1st mov.",sonata
"Sonata in F Major, K280",sonata
"Sonata in F Major, K533",sonata
"Sonata in F Major, K533/K494",sonata
